,bedrooms,bathrooms,sqft_living,sqft_lot,floors,yr_built,zipcode,price,price_per_sqftlot,area_per_bhk
1,4,3,2240,4648,2.0,2005,98001,287000.0,61.74698795180723,1162.0
2,4,3,3230,16171,2.0,2001,98001,480000.0,29.682765444313894,4042.75
3,3,3,2714,17936,2.0,2005,98001,465000.0,25.92551293487957,5978.666666666667
4,4,3,2160,9528,2.0,1992,98001,360000.0,37.78337531486146,2382.0
5,3,2,1450,11204,1.0,2003,98001,230000.0,20.528382720456978,3734.6666666666665
6,4,2,1550,19800,1.0,1969,98001,252000.0,12.727272727272727,4950.0
7,3,2,1670,8230,1.0,1954,98001,227950.0,27.69744835965978,2743.3333333333335
9,4,3,2250,9091,1.0,1982,98001,305000.0,33.54966450335497,2272.75
10,3,2,1450,12125,1.0,1981,98001,243000.0,20.04123711340206,4041.6666666666665
11,3,2,1400,9177,1.0,1974,98001,233000.0,25.38956085866841,3059.0
12,3,2,1380,14000,1.0,1939,98001,249900.0,17.85,4666.666666666667
13,3,2,1410,8384,1.0,1985,98001,205000.0,24.451335877862597,2794.6666666666665
16,3,2,1850,9550,1.0,1988,98001,289000.0,30.26178010471204,3183.3333333333335
17,3,2,2080,12522,1.0,1950,98001,249900.0,19.956875898418783,4174.0
19,3,3,2280,7417,2.0,1998,98001,320000.0,43.14412835378185,2472.3333333333335
20,3,3,2495,4400,2.0,2007,98001,267000.0,60.68181818181818,1466.6666666666667
21,4,3,2770,7000,1.0,1979,98001,355000.0,50.714285714285715,1750.0
23,4,3,2590,7213,2.0,2001,98001,355000.0,49.2166920837377,1803.25
24,4,3,3504,6000,2.0,2006,98001,330000.0,55.0,1500.0
26,4,3,2650,9301,2.0,2001,98001,429000.0,46.12407268035695,2325.25
28,2,2,1220,15600,1.0,1972,98001,215500.0,13.814102564102564,7800.0
30,3,2,1440,10111,1.0,1963,98001,210000.0,20.769459005044013,3370.3333333333335
31,3,3,1570,9292,1.0,1977,98001,284200.0,30.58544984933276,3097.3333333333335
32,3,2,1380,7476,1.0,1989,98001,272000.0,36.383092562867844,2492.0
34,3,2,2120,14915,1.0,1979,98001,332000.0,22.259470331880657,4971.666666666667
35,2,1,1088,8453,1.0,1952,98001,238000.0,28.15568437241216,4226.5
36,3,3,1580,8541,2.0,1990,98001,213550.0,25.00292705772158,2847.0
38,4,3,2020,6236,2.0,2002,98001,262000.0,42.01411161000642,1559.0
41,3,3,2495,4400,2.0,2007,98001,276000.0,62.72727272727273,1466.6666666666667
42,3,2,1630,10969,2.0,1991,98001,265000.0,24.158993527213056,3656.3333333333335
43,3,3,2153,4400,2.0,2007,98001,259000.0,58.86363636363637,1466.6666666666667
44,3,3,1740,10050,2.0,1989,98001,225000.0,22.388059701492537,3350.0
45,4,3,2140,9920,2.0,1993,98001,354450.0,35.73084677419355,2480.0
46,4,3,1252,25002,1.0,1996,98001,352000.0,14.07887369010479,6250.5
47,3,1,1220,9600,1.0,1958,98001,210500.0,21.927083333333332,3200.0
48,3,2,2240,9200,1.0,1968,98001,276000.0,30.0,3066.6666666666665
49,3,3,1870,7942,2.0,1990,98001,299950.0,37.767564845127175,2647.3333333333335
50,2,3,1770,10534,1.0,2003,98001,279000.0,26.485665464211127,5267.0
51,3,3,2120,22482,1.0,1979,98001,329500.0,14.656169379948404,7494.0
57,3,3,1600,9830,2.0,1993,98001,299950.0,30.513733468972532,3276.6666666666665
58,3,2,2100,15480,1.0,1983,98001,299000.0,19.315245478036175,5160.0
61,4,3,2080,9846,1.0,1984,98001,286950.0,29.143814747105424,2461.5
64,3,1,920,14400,1.0,1977,98001,212500.0,14.756944444444445,4800.0
65,3,3,2220,20531,2.0,1998,98001,382450.0,18.62792849836832,6843.666666666667
66,4,1,1440,9600,1.0,1964,98001,269950.0,28.119791666666668,2400.0
67,3,1,1250,7280,1.0,1965,98001,221000.0,30.357142857142858,2426.6666666666665
68,2,1,1747,12250,2.5,1948,98001,267500.0,21.836734693877553,6125.0
69,3,2,1560,7300,1.0,1964,98001,224000.0,30.684931506849313,2433.3333333333335
70,5,3,3597,4972,2.0,2006,98001,330000.0,66.3716814159292,994.4
71,4,2,2710,22860,1.0,1962,98001,359000.0,15.704286964129484,5715.0
72,2,3,1150,2064,2.0,2004,98001,214100.0,103.73062015503876,1032.0
73,3,2,1880,11249,1.0,1985,98001,340000.0,30.224908880789403,3749.6666666666665
74,3,3,2290,15600,1.0,1948,98001,465000.0,29.807692307692307,5200.0
75,4,3,2400,6078,2.0,2001,98001,299000.0,49.19381375452451,1519.5
